Região,Código da Região,Unidade da Federação,Sigla da Unidade da Federação,Código da Unidade da Federação,Município,Código do Múnicipio,Está em Uma Capital,pk_localização_geográfica
Nordeste,2,Piau ,PI,22,Floriano,2203909,Não está na capital,1055
Sudeste,3,Minas Gerais,MG,31,Jo o Pinheiro,3136306,Não está na capital,1056
Sudeste,3,Minas Gerais,MG,31,Jana ba,3135100,Não está na capital,1057
Nordeste,2,Cear ,CE,23,Tiangu ,2313401,Não está na capital,1058
Nordeste,2,Piau ,PI,22,Canto do Buriti,2202307,Não está na capital,1059
Centro-Oeste,5,Goi s,GO,52,Pires do Rio,5217401,Não está na capital,1060
Sudeste,3,Esp rito Santo,ES,32,Venda Nova do Imigrante,3205069,Não está na capital,1061
Nordeste,2,Maranh o,MA,21,Coroat ,2103604,Não está na capital,1062
Norte,1,Par ,PA,15,Tucuru ,1508100,Não está na capital,1063
Nordeste,2,Bahia,BA,29,Valen a,2932903,Não está na capital,1064
Sudeste,3,S o Paulo,SP,35,Barretos,3505500,Não está na capital,1065
Sul,4,Paran ,PR,41,Pitanga,4119608,Não está na capital,1066
Sudeste,3,Rio de Janeiro,RJ,33,Santo Ant nio de P dua,3304706,Não está na capital,1067
Sul,4,Paran ,PR,41,Amp re,4101002,Não está na capital,1068
Centro-Oeste,5,Mato Grosso,MT,51,Ju na,5105150,Não está na capital,1069
Nordeste,2,Bahia,BA,29,Eun polis,2910727,Não está na capital,1070
Nordeste,2,Alagoas,AL,27,P o de A  car,2706406,Não está na capital,1071
Sudeste,3,S o Paulo,SP,35,Jacare ,3524402,Não está na capital,1072
Norte,1,Tocantins,TO,17,Para so do Tocantins,1716109,Não está na capital,1073
Norte,1,Tocantins,TO,17,Aragua na,1702109,Não está na capital,1074
Sudeste,3,Minas Gerais,MG,31,S o Gotardo,3162104,Não está na capital,1075
Sul,4,Santa Catarina,SC,42,Chapec ,4204202,Não está na capital,1076
Norte,1,Rond nia,RO,11,Ouro Preto do Oeste,1100155,Não está na capital,1077
Centro-Oeste,5,Goi s,GO,52,Ipor ,5210208,Não está na capital,1078
Sudeste,3,S o Paulo,SP,35,S o Sebasti o,3550704,Não está na capital,1079
Nordeste,2,Piau ,PI,22, gua Branca,2200202,Não está na capital,1080
Sudeste,3,S o Paulo,SP,35,Caieiras,3509007,Não está na capital,1081
Sul,4,Santa Catarina,SC,42,Conc rdia,4204301,Não está na capital,1082
Norte,1,Par ,PA,15,Reden  o,1506138,Não está na capital,1083
Nordeste,2,Maranh o,MA,21,Chapadinha,2103208,Não está na capital,1084
Nordeste,2,Piau ,PI,22,Piripiri,2208403,Não está na capital,1085
Sudeste,3,Minas Gerais,MG,31,Divin polis,3122306,Não está na capital,1086
Centro-Oeste,5,Mato Grosso,MT,51,S o Jos  dos Quatro Marcos,5107107,Não está na capital,1087
Nordeste,2,Bahia,BA,29,Lu s Eduardo Magalh es,2919553,Não está na capital,1088
Sul,4,Paran ,PR,41,Capanema,4104501,Não está na capital,1089
Centro-Oeste,5,Goi s,GO,52,Quirin polis,5218508,Não está na capital,1090
Sudeste,3,S o Paulo,SP,35,Junqueir polis,3526001,Não está na capital,1091
Nordeste,2,Para ba,PB,25,Patos,2510808,Não está na capital,1092
Centro-Oeste,5,Goi s,GO,52,Catal o,5205109,Não está na capital,1093
Sul,4,Rio Grande do Sul,RS,43,Get lio Vargas,4308904,Não está na capital,1094
Norte,1,Tocantins,TO,17,Guara ,1709302,Não está na capital,1095
Nordeste,2,Maranh o,MA,21,Timon,2112209,Não está na capital,1096
Sudeste,3,Minas Gerais,MG,31,Sabin polis,3156809,Não está na capital,1097
Sudeste,3,S o Paulo,SP,35,Valinhos,3556206,Não está na capital,1098
Sudeste,3,S o Paulo,SP,35,Cotia,3513009,Não está na capital,1099
Nordeste,2,Rio Grande do Norte,RN,24,A u,2400208,Não está na capital,1100
Nordeste,2,Rio Grande do Norte,RN,24,Caic ,2402006,Não está na capital,1101
Sul,4,Paran ,PR,41,Ivaipor ,4111506,Não está na capital,1102
Nordeste,2,Maranh o,MA,21,Bacabal,2101202,Não está na capital,1103
Centro-Oeste,5,Goi s,GO,52,Urua u,5221601,Não está na capital,1104
Norte,1,Amap ,AP,16,Santana,1600600,Não está na capital,1105
Centro-Oeste,5,Goi s,GO,52,Goian sia,5208608,Não está na capital,1106
Sudeste,3,Minas Gerais,MG,31,Guaxup ,3128709,Não está na capital,1107
Centro-Oeste,5,Goi s,GO,52, guas Lindas de Goi s,5200258,Não está na capital,1108
Nordeste,2,Piau ,PI,22,Picos,2208007,Não está na capital,1109
Centro-Oeste,5,Goi s,GO,52,Itabera ,5210406,Não está na capital,1110
Sudeste,3,S o Paulo,SP,35,Tatu ,3554003,Não está na capital,1111
Sudeste,3,S o Paulo,SP,35,Pirassununga,3539301,Não está na capital,1112
Sudeste,3,S o Paulo,SP,35,Mococa,3530508,Não está na capital,1113
Sudeste,3,S o Paulo,SP,35,S o Joaquim da Barra,3549409,Não está na capital,1114
Sudeste,3,S o Paulo,SP,35,Roseira,3544301,Não está na capital,1115
Sudeste,3,S o Paulo,SP,35,Santa B rbara d'Oeste,3545803,Não está na capital,1116
Sudeste,3,S o Paulo,SP,35,Carapicu ba,3510609,Não está na capital,1117
Sudeste,3,S o Paulo,SP,35,Peru be,3537602,Não está na capital,1118
Centro-Oeste,5,Goi s,GO,52,Mineiros,5213103,Não está na capital,1119
Centro-Oeste,5,Goi s,GO,52,Inhumas,5210000,Não está na capital,1120
Nordeste,2,Cear ,CE,23,Caucaia,2303709,Não está na capital,1121
Nordeste,2,Maranh o,MA,21,Balsas,2101400,Não está na capital,1122
Norte,1,Par ,PA,15,Marab ,1504208,Não está na capital,1123
Centro-Oeste,5,Goi s,GO,52,Porangatu,5218003,Não está na capital,1124
Sul,4,Paran ,PR,41,Para so do Norte,4118006,Não está na capital,1125
Sudeste,3,S o Paulo,SP,35,Cruzeiro,3513405,Não está na capital,1126
Nordeste,2,Bahia,BA,29,Riach o do Jacu pe,2926301,Não está na capital,1127
Sul,4,Paran ,PR,41,Paranava ,4118402,Não está na capital,1128
Sudeste,3,S o Paulo,SP,35,Itarar ,3523206,Não está na capital,1129
Sul,4,Rio Grande do Sul,RS,43,Restinga S ca,4315503,Não está na capital,1130
Sudeste,3,Minas Gerais,MG,31,Matip ,3140902,Não está na capital,1131
Sudeste,3,Minas Gerais,MG,31,Po os de Caldas,3151800,Não está na capital,1132
Sudeste,3,S o Paulo,SP,35,Itapecerica da Serra,3522208,Não está na capital,1133
Sudeste,3,S o Paulo,SP,35,Conchas,3512308,Não está na capital,1134
Norte,1,Par ,PA,15,Castanhal,1502400,Não está na capital,1135
Nordeste,2,Cear ,CE,23,Quixeramobim,2311405,Não está na capital,1136
Nordeste,2,Piau ,PI,22,S o Pedro do Piau ,2210508,Não está na capital,1137
Sudeste,3,S o Paulo,SP,35,Lup rcio,3527801,Não está na capital,1138
Sudeste,3,Rio de Janeiro,RJ,33,Tr s Rios,3306008,Não está na capital,1139
Sul,4,Santa Catarina,SC,42,Ca ador,4203006,Não está na capital,1140
Sul,4,Santa Catarina,SC,42,S o Miguel do Oeste,4217204,Não está na capital,1141
Sudeste,3,S o Paulo,SP,35,Atibaia,3504107,Não está na capital,1142
Sudeste,3,Esp rito Santo,ES,32,I na,3203007,Não está na capital,1143
Sudeste,3,Minas Gerais,MG,31,Te filo Otoni,3168606,Não está na capital,1144
Nordeste,2,Bahia,BA,29,Santa Maria da Vit ria,2928109,Não está na capital,1145
Sul,4,Santa Catarina,SC,42,Palho a,4211900,Não está na capital,1146
Sudeste,3,S o Paulo,SP,35,Sumar ,3552403,Não está na capital,1147
Sul,4,Paran ,PR,41,Cruzeiro do Oeste,4106605,Não está na capital,1148
Norte,1,Par ,PA,15,Altamira,1500602,Não está na capital,1149
Centro-Oeste,5,Mato Grosso do Sul,MS,50,Caarap ,5002407,Não está na capital,1150
Nordeste,2,Cear ,CE,23,Crate s,2304103,Não está na capital,1151
Sudeste,3,S o Paulo,SP,35,Cachoeira Paulista,3508603,Não está na capital,1152
Sudeste,3,Rio de Janeiro,RJ,33,S o Fid lis,3304805,Não está na capital,1153
Sul,4,Rio Grande do Sul,RS,43,S o Marcos,4319000,Não está na capital,1154
