pk_tempo,pk_localização_geográfica,PIB da Unidade da Federação,População da Unidade da Federação
1,908,2348338,45919049
1,912,2348338,45919049
1,917,2348338,45919049
1,918,2348338,45919049
1,921,2348338,45919049
1,927,2348338,45919049
1,929,2348338,45919049
1,930,2348338,45919049
1,931,2348338,45919049
1,932,2348338,45919049
1,938,2348338,45919049
1,940,2348338,45919049
1,941,2348338,45919049
1,942,2348338,45919049
1,944,2348338,45919049
1,945,2348338,45919049
1,946,2348338,45919049
1,947,2348338,45919049
1,948,2348338,45919049
1,949,2348338,45919049
1,953,2348338,45919049
1,956,2348338,45919049
1,965,2348338,45919049
1,966,2348338,45919049
1,970,2348338,45919049
1,971,2348338,45919049
1,972,2348338,45919049
1,973,2348338,45919049
1,980,2348338,45919049
1,984,2348338,45919049
1,987,2348338,45919049
1,990,2348338,45919049
1,998,2348338,45919049
1,999,2348338,45919049
1,1000,2348338,45919049
1,1007,2348338,45919049
1,1008,2348338,45919049
1,1014,2348338,45919049
1,1015,2348338,45919049
1,1017,2348338,45919049
1,1020,2348338,45919049
1,1022,2348338,45919049
1,1023,2348338,45919049
1,1024,2348338,45919049
1,1026,2348338,45919049
1,1028,2348338,45919049
1,1033,2348338,45919049
1,1065,2348338,45919049
1,1072,2348338,45919049
1,1079,2348338,45919049
1,1081,2348338,45919049
1,1091,2348338,45919049
1,1098,2348338,45919049
1,1099,2348338,45919049
1,1111,2348338,45919049
1,1112,2348338,45919049
1,1113,2348338,45919049
1,1114,2348338,45919049
1,1115,2348338,45919049
1,1116,2348338,45919049
1,1117,2348338,45919049
1,1118,2348338,45919049
1,1126,2348338,45919049
1,1129,2348338,45919049
1,1133,2348338,45919049
1,1134,2348338,45919049
1,1138,2348338,45919049
1,1142,2348338,45919049
1,1147,2348338,45919049
1,1152,2348338,45919049
1,1156,2348338,45919049
1,1165,2348338,45919049
1,1172,2348338,45919049
1,1173,2348338,45919049
1,1174,2348338,45919049
1,1175,2348338,45919049
1,1191,2348338,45919049
1,1192,2348338,45919049
1,1194,2348338,45919049
1,1196,2348338,45919049
1,1202,2348338,45919049
1,1205,2348338,45919049
1,1208,2348338,45919049
1,1211,2348338,45919049
1,1218,2348338,45919049
1,1227,2348338,45919049
1,1237,2348338,45919049
